move_id,name_ja,type,category,power,energy,turns
megahorn,メガホーン,bug,charge,110.0,-55,
bug_buzz,むしのさざめき,bug,charge,100.0,-60,
signal_beam,シグナルビーム,bug,charge,75.0,-55,
x_scissor,シザークロス,bug,charge,65.0,-40,
silver_wind,ぎんいろのかぜ,bug,charge,60.0,-45,
lunge,とびかかる,bug,charge,60.0,-45,
fell_stinger,とどめばり,bug,charge,20.0,-35,
fury_cutter_fast,れんぞくぎり,bug,fast,3.0,4,1
bug_bite_fast,むしくい,bug,fast,4.0,3,1
infestation_fast,まとわりつく,bug,fast,6.0,12,3
struggle_bug_fast,むしのていこう,bug,fast,9.0,8,3
dark_pulse,あくのはどう,dark,charge,80.0,-50,
night_slash,つじぎり,dark,charge,50.0,-35,
crunch,かみくだく,dark,charge,70.0,-45,
foul_play,イカサマ,dark,charge,65.0,-40,
payback,しっぺがえし,dark,charge,110.0,-60,
brutal_swing,ぶんまわす,dark,charge,55.0,-35,
obstruct,ブロッキング,dark,charge,15.0,-40,
darkest_lariat,DDラリアット,dark,charge,120.0,-60,
aura_wheel_dark,オーラぐるま(あく),dark,charge,100.0,-45,
bite_fast,かみつく,dark,fast,4.0,2,1
sucker_punch_fast,ふいうち,dark,fast,8.0,7,2
feint_attack_fast,だましうち,dark,fast,6.0,6,2
snarl_fast,バークアウト,dark,fast,5.0,13,3
twister,たつまき,dragon,charge,70.0,-40,
dragon_pulse,りゅうのはどう,dragon,charge,90.0,-55,
dragon_claw,ドラゴンクロー,dragon,charge,80.0,-50,
outrage,げきりん,dragon,charge,110.0,-60,
draco_meteor,りゅうせいぐん,dragon,charge,150.0,-65,
breaking_swipe,ワイドブレイカー,dragon,charge,50.0,-50,
spacial_rend,あくうせつだん,dragon,charge,95.0,-55,
roar_of_time,ときのほうこう,dragon,charge,150.0,-65,
dynamax_cannon,ダイマックスほう,dragon,charge,80.0,-45,
clanging_scales,スケイルノイズ,dragon,charge,120.0,-45,
dragon_energy,ドラゴンエナジー,dragon,charge,90.0,-45,
dragon_breath_fast,りゅうのいぶき,dragon,fast,3.0,4,1
dragon_tail_fast,ドラゴンテール,dragon,fast,9.0,12,3
discharge,ほうでん,electric,charge,55.0,-40,
parabolic_charge,パラボラチャージ,electric,charge,70.0,-50,
thunder_punch,かみなりパンチ,electric,charge,60.0,-40,
thunder,かみなり,electric,charge,100.0,-60,
thunderbolt,１０まんボルト,electric,charge,90.0,-55,
wild_charge,ワイルドボルト,electric,charge,100.0,-45,
zap_cannon,でんじほう,electric,charge,150.0,-80,
techno_blast_shock,テクノバスター(でんき),electric,charge,120.0,-55,
fusion_bolt,クロスサンダー,electric,charge,90.0,-45,
wildbolt_storm,かみなりあらし,electric,charge,60.0,-45,
volt_tackle,ボルテッカー,electric,charge,90.0,-40,
aura_wheel_electric,オーラぐるま(でんき),electric,charge,100.0,-45,
thunder_cage,サンダープリズン,electric,charge,60.0,-40,
thunder_shock_fast,でんきショック,electric,fast,4.0,9,2
spark_fast,スパーク,electric,fast,5.0,7,2
charge_beam_fast,チャージビーム,electric,fast,5.0,11,3
volt_switch_fast,ボルトチェンジ,electric,fast,14.0,16,4
thunder_fang_fast,かみなりのキバ,electric,fast,8.0,6,2
disarming_voice,チャームボイス,fairy,charge,70.0,-45,
draining_kiss,ドレインキッス,fairy,charge,60.0,-55,
dazzling_gleam,マジカルシャイン,fairy,charge,90.0,-55,
moonblast,ムーンフォース,fairy,charge,110.0,-60,
play_rough,じゃれつく,fairy,charge,90.0,-60,
natures_madness,しぜんのいかり,fairy,charge,80.0,-50,
charm_fast,あまえる,fairy,fast,13.0,8,3
fairy_wind_fast,ようせいのかぜ,fairy,fast,4.0,9,2
geomancy_fast,ジオコントロール,fairy,fast,8.0,13,3
cross_chop,クロスチョップ,fighting,charge,55.0,-35,
submission,じごくぐるま,fighting,charge,60.0,-50,
