species_id,name_ja,type1,type2,base_atk,base_def,base_sta,fast_moves,charge_moves,tags,elitefast,elitecharge,evolves_to,evolves_from,generation,dex
bulbasaur,フシギダネ,grass,poison,118,111,128,"vine_whip_fast,tackle_fast","sludge_bomb,seed_bomb,power_whip",,,,IVYSAUR,,1.0,1
bulbasaur_fall_2019,フシギダネ,grass,poison,118,111,128,"vine_whip_fast,tackle_fast","sludge_bomb,seed_bomb,power_whip",bulbasaur_fall_2019,,,,,,1
bulbasaur_normal,フシギダネ,grass,poison,118,111,128,"vine_whip_fast,tackle_fast","sludge_bomb,seed_bomb,power_whip",bulbasaur_normal,,,,,,1
ivysaur,フシギソウ,grass,poison,151,143,155,"razor_leaf_fast,vine_whip_fast","sludge_bomb,solar_beam,power_whip",,,,VENUSAUR,BULBASAUR,1.0,2
ivysaur_normal,フシギソウ,grass,poison,151,143,155,"razor_leaf_fast,vine_whip_fast","sludge_bomb,solar_beam,power_whip",ivysaur_normal,,,,,,2
venusaur,フシギバナ,grass,poison,198,189,190,"razor_leaf_fast,vine_whip_fast","sludge_bomb,petal_blizzard,solar_beam,sludge",,,frenzy_plant,,IVYSAUR,1.0,3
venusaur_copy_2019,フシギバナ,grass,poison,198,189,190,"razor_leaf_fast,vine_whip_fast","sludge_bomb,petal_blizzard,solar_beam,sludge",venusaur_copy_2019,,,,,,3
venusaur_normal,フシギバナ,grass,poison,198,189,190,"razor_leaf_fast,vine_whip_fast","sludge_bomb,petal_blizzard,solar_beam,sludge",venusaur_normal,,,,,,3
charmander,ヒトカゲ,fire,,116,93,118,"ember_fast,scratch_fast","flame_charge,flame_burst,flamethrower",,,,CHARMELEON,,1.0,4
charmander_fall_2019,ヒトカゲ,fire,,116,93,118,"ember_fast,scratch_fast","flame_charge,flame_burst,flamethrower",charmander_fall_2019,,,,,,4
charmander_normal,ヒトカゲ,fire,,116,93,118,"ember_fast,scratch_fast","flame_charge,flame_burst,flamethrower",charmander_normal,,,,,,4
charmeleon,リザード,fire,,158,126,151,"ember_fast,fire_fang_fast","fire_punch,flame_burst,flamethrower",,scratch_fast,,CHARIZARD,CHARMANDER,1.0,5
charmeleon_normal,リザード,fire,,158,126,151,"ember_fast,fire_fang_fast","fire_punch,flame_burst,flamethrower",charmeleon_normal,,,,,,5
charizard,リザードン,fire,flying,223,173,186,"fire_spin_fast,air_slash_fast","fire_blast,dragon_claw,overheat,air_cutter",,"ember_fast,wing_attack_fast,dragon_breath_fast","blast_burn,flamethrower",,CHARMELEON,1.0,6
charizard_copy_2019,リザードン,fire,flying,223,173,186,"fire_spin_fast,air_slash_fast","fire_blast,dragon_claw,overheat,air_cutter",charizard_copy_2019,,,,,,6
charizard_normal,リザードン,fire,flying,223,173,186,"fire_spin_fast,air_slash_fast","fire_blast,dragon_claw,overheat,air_cutter",charizard_normal,,,,,,6
squirtle,ゼニガメ,water,,94,121,127,"bubble_fast,tackle_fast","aqua_jet,aqua_tail,water_pulse",,,,WARTORTLE,,1.0,7
squirtle_fall_2019,ゼニガメ,water,,94,121,127,"bubble_fast,tackle_fast","aqua_jet,aqua_tail,water_pulse",squirtle_fall_2019,,,,,,7
squirtle_normal,ゼニガメ,water,,94,121,127,"bubble_fast,tackle_fast","aqua_jet,aqua_tail,water_pulse",squirtle_normal,,,,,,7
